Nombre,URL,Info,Departamento,Categoria,Municipio,Decreto
Sala de Museo Jorge Villamiel Cordovez,https://www.huila.gov.co/cultura-y-turismo/publicaciones/6139/sala-museo-jorge-villamil/,"HISTORIA El Museo de la huilensidad “JORGE VILLAMIL”, es el resultado del esfuerzo de un grupo de huilenses que por iniciativa de la Reina Nacional del Bambuco Larissa Fernanda Calderon Ortiz, decidio impulsar su creacion como un legado de su reinado. La idea de impulsarlo acogio la recomendacion que al respecto hizo en el ano 2000 la Corporacion Huila Futuro, evitando asi que otros departamentos, como el Quindio y Antioquia, le arrebatara a este Departamento ese derecho teniendo en cuenta que el Maestro Villamil es huilense. | El punto de partida para desarrollar el proyecto fue la constitucion de la Fundacion por la Huilensidad “JORGE VILLAMIL”, con la mision de promoverlo, impulsarlo y adelantar las gestiones para montarlo y ponerlo al servicio del fortalecimiento de la cultura regional y el turismo del Huila. El Museo empezo a concretarse con la donacion que el Maestro le hizo a la Fundacion de la coleccion de 382 piezas museologicas y de la destinacion que hicieron los estudios, se elaboro el Guion y se efectuo el montaje por expertos contratados para el efecto. | A la coleccion de piezas donadas por el Maestro Villamil se le agregaron las aportadas por la Fundacion y por particulares. Uno de los casos mas significativos lo fue el aporte de la replica, construida a escala, de la que fue la casa de la hacienda del Cedral, que fuera de su padre, Jorge Villamil Ortega, en donde el compositor se crio y abrevo de los peones de la finca cafetera y de los campesinos de la zona de Vegalarga en el municipio de Neiva, las tonadas y el estilo autoctono de muchas de las 180 canciones que ha compuesto. Precisamente una de sus mas famosas canciones es “Hacienda del Cedral” que el artista evoca cuando canta “te llevo en mi cantar/ te llevo yo en mi recuerdo/ en esta tierra naci/ en ella tambien vivi/ y en ella quiero mi entierro”. | UBICACION | Tercer piso del Bloque Cultural del Centro de Convenciones ""Jose Eustasio Rivera"", Neiva. Directora: Mari­a Ruth Arboleda",Huila,Categoria Museos,Neiva,
Sitio Arqueológico Vereda La Gaitana,,,Huila,Categoría Arqueológica,San Agustín,Ord. 040 de 2001
Teatro Cincuentenario,,,Huila,Categoría Teatro,Neiva,Ord. 025 de 1993 Ord. 040 de 2001
Templo Colonial,,,Huila,Categoría Religiosa,Paicol,Ord. 007 de 1993 - 040 de 2001
Templo Colonial,,,Huila,Categoría Religiosa,Palermo,Ord. 007 de 1992
Templo La Inmaculada Concepción,,,Huila,Categoría Religiosa,Neiva,Ord. 007 de 1992
Templo de Monserrate,,,Huila,Categoría Religiosa,La Plata,Ord. 040 de 2001
Templo de Pacarní,,,Huila,Categoría Religiosa,Tesalia,Ord. 040 de 2001
Templo de San Antonio,,,Huila,Categoría Religiosa,Pitalito,Ord. 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Garzón,Ord. 025 de 1993 - 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Hobo,Ord. 025 de 1993 - 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Iquira,Ord. 025 de 1993 - 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Paicol,Ord. 025 de 1993 - 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Saladoblanco,Ord. 025 de 1993
Zona Urbana Central Fortalecillas,,,Huila,Categoría Urbanística,Neiva,Ord. 025 de 1993 - 040 de 2001
