Departamento,Municipio,Nombre,Link,Vereda,Direccion,Codigo,Responsable,Telefono,EstadoConservacion,ConstitucionBien,Representatividad,Ubicación,Descripción,DescripcionCompleta
Huila,Neiva,ASADO HUILENSE,https://huila.travel/inventario/26,,,1.6.2,SITYC Huila,0,,,,"Neiva, NA.",(1176 reviews),"Hace parte de la cultura de la región, por tradición somos alegres fiesteros, unidos al entorno familiar y a su tierra, por eso la preparación tiene todos estos componentes. Es un plato fiestero que en San Juan y San Pedro se convierte en un rito ancestral. Sus ingredientes son cebolla larga, ajos, guayabita molida, clavos de olor molido, mostacilla molida, semillas de cilantro castilla molido, nuez moscada rayada, cominos molidos, tomillo fresco, laurel fresco, orégano fresco, poleo fresco, sal, jugo de naranja agria, azúcar, agua, últimamente la carne la marinan con cerveza. Se sirve frío y acompañado de insulso dulce cocido, insulso asado, arepas oreja de perro, maduro melado y de bebida aloja, masato o chicha de maíz. Neiva está Ubicada a 306 Km al sur de la ciudad de Bogotá, por una vía en muy buenas condiciones. Se puede llegar por vía Aérea."
Huila,Neiva,Avenida Inés García de Durán,https://huila.travel/inventario/270,0,Ruta 45 desde la Calle 2 Sur hasta la Glorieta Mer,41001.1.1.2.2.7.1.5834,SYTIC,0,18%,,24%,"Neiva, Ruta 45 desde la Calle 2 Sur hasta la Glorieta Mer.",(1176 reviews),Tramo de 2.600 metros de la Ruta 45 en la salida de la ciudad de Neiva hacia el sur. Este espacio se encuentra amoblado y ornamentado con las ocho figuras de los pasos del San Juanero huilense creadas por el maestro bogotano radicado en Neiva Fernando Núñez la invitación los ochos el coqueteo la arrodillada levantada del pie o voladas arrastrada del ala secreto y salida final. Además de un busto de la creadora de la coreografía la señora Inés García de Durán. 0
Huila,Neiva,Baile del Sanjuanero Huilense,https://huila.travel/inventario/262,0,0,41001.1.3.6.1.1.1.5836,SYTIC,0,,,,"Neiva, 0.",(1176 reviews),Bambuco fiestero al estilo del Tolima Grande con una marcada influencia de los ritmos y la percusión del rajaleña su puesta en escena es un baile romántico cargado de coquetería y picardía en el que un galán conquista a su pareja a través de tres pasos caminado pasos de danza y bambuqueado en la coreografía realizan ocho figuras que son: la invitación los ochos el coqueteo la arrodillada levantada del pie o voladas arrastrada del ala secreto y salida final. La composición musical es del maestro Anselmo Durán Plazas en 1936 con letra de Sofía Gaitán Yanguas y la coreografía de Inés García de Durán. En los años 60 fue refrendado y adoptado oficialmente acuerdo firmado por la Junta Directiva del Instituto Huilense de Cultura y Turismo el 28 de mayo de 1982. En la actualidad es el eje central del Festival y Reinado Nacional del Bambuco de Neiva pues cada una de las candidatas debe interpretar de manera magistral la danza para competir por la corona. 0
Huila,Nátaga,Basílica Menor de Nuestra Señora de Las mercedes,https://huila.travel/inventario/313,Casco Urbano de Nátaga,"Cl. 6 #1-69, Nátaga, Huila",1.1.3.1 Templo (Basílica),SITYC HUILA,88319600,,,,"Nátaga, Cl. 6 #1-69, Nátaga, Huila.",(1176 reviews),"Conjunto de Basílica Menor y Templo Antiguo, La basílica construida en forma de cruz latina, en cuatro naves y un solo cuerpo, en cuya intersección hay una cúpula hexagonal de mayor altura. En la nave trasera de la basílica, se encuentra el altar mayor y la sacristía, esta última con ventanas rectangulares rematadas por arcos de herradura. Las Naves laterales son capillas y la nave principal de mayor altura, esta dividida en tres espacios por columnas circulares rematadas por arcos de herradura, la fachada tiene tres cuerpos en forma rectangular, el central rematado en forma triangular y los accesos y las ventanas son en forma rectangular rematadas en arcos de herradura. Tiene una cripta en un nivel inferior con una capilla circular, una capilla lateral y hornacinas que albergan santos. La cubierta es en taja de barro sobre estructura de madera y tiene un cielorraso en figuras geométricas de estilo mudéjar, como las ventanas ojivales y los arcos de herradura. El Templo Antiguo tiene forma rectangular, una sola nave, un solo cuerpo y esta construidos en piedra labrada, y ladrillos de diferentes proporciones, la cubierta es en teja de barro y tiene un cielorraso decorado en muy mal estado el ingreso es rectangular rematado por un arco rebajado y sobre la parte frontal tiene una torre de dos cuerpos rematada por un pináculo cónico. Ubicada en el Casco Urbano del Municipio de Nátaga a 120 Km de la ciudad de Neiva por vía pavimentada en buen estado"
Huila,San Agustí­n,BISUTERÍA FIBRAS NATURALES Y SEMILLAS,https://huila.travel/inventario/95,,,1.6.11,SITYC Huila,0,,,,"San Agustí­n, NA.",(1176 reviews),"Elaboración de artículos de adorno en fibras naturales y semillas, decorados con colores llamativos o tallas. Se elaboran collares, aretes y manillas en fibras de fique, plátano entre otras y se le ponen semillas de colores como la chaquira, chocho, corozo y tagua entre otras muchas. Para llegar a San Agustín usted debe tomar la vía Bogotá - Neiva (306 Km), o llegar a Neiva por vía aérea, Neiva - Pitalito (189 Km) y Pitalito - San Agustín (38 Km"
Huila,Altamira,BIZCOCHO DE ACHIRA,https://huila.travel/inventario/27,,,1.6.2,SITYC Huila,0,,,,"Altamira, NA.",(1176 reviews),"Producto alimenticio preparado en forma artesanal de amasijo. Su ingrediente base es la harina de Achira, cuajada fresca bien exprimida, mantequilla, yemas de huevo y sal. Se mezclan todos los ingredientes hasta obtener una masa homogénea, de la cual se hacen los bizcochos de 5 cm aproximadamente de largo por 1 cm de ancho trabajándolos con la mano. Se ponen en una lata engrasada y se meten al horno (tradicionalmente de barro) a 400 grados de temperatura, luego se colocan en otro recipiente en la puerta del horno para su tostado. Nota: es sumamente importante que la cuajada quede muy bien exprimida. Puede decirse que tanto el bizcocho de achira como el bizcocho de cuajada o pan maíz, son el resumen gastronómico del mestizaje, la cuajada producto europeo y el maíz americano. Ubicado a 143 Kms de la ciudad de Neiva"
Huila,Tarqui,BOSQUE LOS PINOS,https://huila.travel/inventario/305,El Vergel,carrera 9 No 4-38,1.2.1 Sector Urbano o rural de interés,SITYC HUILA,3203030000,,,,"Tarqui, carrera 9 No 4-38.",(1176 reviews),"Zona Montañosa del municipio de Tarqui, que desde hace algunos años a sido utilizada para el cultivo de pinos, generando un paisaje muy singular causado por los bosques plantados y por la topografía quebrada que en un tramo considerable presenta un profundo barranco hacia la cuenca de la quebrada La Maituna y el Río Magdalena. Sobre la zona se han adecuado algunos miradores, con infraestructura rustica para mejorar la experiencia paisajistica de los visitantes. algunos cuentan con hospedaje servicios de restaurante y cafe bar. Ubicado a 15 Km del municipio de Tarqui por la ruta Tarqui, El Vergel, Maito, por una carretera en afirmado en buen estado."
Huila,San Agustí­n,CAMINO PREHISPÁNICO DEL MACIZO COLOMBIANO,https://huila.travel/inventario/394,VEREDA PUERTO QUINCHANA,VEREDA PUERTO QUINCHANA,1.1.5 OBRAS DE INGENIERÍA E INFRAESTRUCTURA (CAMINO REAL),SYTIC HUILA,0,,,,"San Agustí­n, VEREDA PUERTO QUINCHANA.",(1176 reviews),"Camino prehispánico de 40 Km que comunica el centro poblado de Puerto Quinchana en San Agustín Huila, con la vereda Loyola en el municipio de San Sebastián departamento del Cauca. El sendero inicia a 1800 Msnm, por explotaciones agropecuarias y zonas de bosque, para internarse luego en una zona selvática que desemboca en el páramo de Las Papas y luego al Valle de Las Papas en el corregimiento de Valencia en el Cauca; pasa por dos puentes de madera techados sobre el río Magdalena, Barandillas y Santa Marta, y por algunos sitios escarpados y rocosos donde el camino ha sido tallado en la roca. En el recorrido se aprecian el cañón del Río Majúas, el Sitio Aguarica, El Páramos de Las Papas, Las lagunas de La Magdalena y Santiago, el nacimiento del Río Caquetá, entre otros sitios de especial interés. Conserva algunos tramos empedrados de su construcción original. El inicio del sendero se encuentra en la Vereda Puerto Quinchana 24 Km al occidente del casco urbano de San Agustín, por una carretera en afirmado con algunos tramos en regular estado."
Huila,Saladoblanco,Cañón de Bordones,https://huila.travel/inventario/408,Vereda Alto Medianías,Vereda Alto Medianías Saladoblanco,2.5.1 Cascada,SITYC HUILA,313,,,,"Saladobla    nco, Vereda Alto Medianías Saladoblanco.",(1176 reviews),"Sendero y mirador que dan el acceso mas cercano y mas espectacular a la Cascada Salto de Bordones. Se ha recuperado un sendero precolombino, de 800 ms usado seguramente para hacer romería a la zona mas cercana a la cascada, que termina en una formación rocosa que ha sido utilizada como mirador y sitio de adoración al elemento agua, su fuerza y su poder. Desde este sector se puede apreciar la cascada en su máxima expresión, su dimensión completa y el espectacular paisaje; y al llegar al mirador se puede percibir la fuerza del agua en su descenso y sentir el roció producto de la caída vertiginosa del Salto El ingreso al sendero está ubicado en la Vereda Alto Medianías, a 12 Km del municipio de Saladoblanco, por una carretera en afirmado con tramos de placa huella en los sitios mas empinados"
Huila,Tesalia,Cañón del Simio,https://huila.travel/inventario/173,Vereda Potrero Grande,CALLE 6 NO. 2 - 03,2.2.3,SYTIC,3162420000,,,,"Tesalia, CALLE 6 NO. 2 - 03.",(1176 reviews),"Profundo estrecho cañón en la vereda Potrero Grande en el Municipio de Tesalia en el cual se transita por el lecho de una quebrada, por cerca de cuatro kilometros, en algunos tramos los peñascos laterales estan tan cerca que parece una caverna, el recorrido tien algunos grados de dificultad y termina en una estrcha grieta llena de agua en total oscuridad, los lugareños cuentan historias del paso de indigenas por el lugar, de la explotación de oro y cobre, del uso del cañón para esconder tesoros y miembros de comunidades durante la conquista española. 7 kilómetros del centro poblado por la vía a Potrero Grande"
Huila,Timaná,Capilla de Naranjal,https://huila.travel/inventario/392,Centro Poblado de Naranjal,Cra 3 # 7-75 Casa San Calixto,1.1.3.1 Templo,SITYC HUILA,318,,,,"Timaná, Cra 3 # 7-75 Casa San Calixto.",(1176 reviews),"Templo circular evocando el templo de San Esteban en Roma,construido en piedra labrada de cantera, remtada con ladrillo cocido, en la portada las puertas de ingreso en arcos apuntados u ojivales y un campanaio adosado a la construcción principal, al interiro un altar central demarcado por columnas rematadas en arcos rebajado, la iluminación se logra con series de ventanas rematadas en arcos de medio punto. Esta ubicado en un sitio privilegido por su belleza paisajistica. Por la ruta 45 que de Timaná conduce a Neiva, 7,4 Km y de alli se toma un cruce a mano derecha por 7 km hasta el templo en el centro poblado de Naranjal"
Huila,Villavieja,CAPILLA DE SANTA BARBARA,https://huila.travel/inventario/77,CASCO URBANO DEL MUNICIPIO DE,,1.1.3.1,SITYC Huila,0,20%,,24%,"Villavieja, NA.",(1176 reviews),"No existe fecha concreta de su construcción, sin embargo parece haber sido edificada por los Jesuitas cuando administraban la Hacienda de los Aposentos (1631 y 1767). A partir de su expulsión de la Nueva Granada aparecen noticias de la capilla, hecho el inventario del 19 de agosto de 1767 (en la Hacienda de la Compañía de Jesús, una suntuosa residencia y bien ornamentada capilla). Presenta una sola nave de forma rectangular alargada. Exteriormente, la fachada presenta un pórtico de inspiración clásica; este se inscribe en el orden dórico y enmarca un arco de medio punto con pilastras adosadas al muro. El interior de una sola nave es dividida en dos espacios por un muro retablo en mampostería de ladrillo. El primer espacio alberga el área de la feligresía y el del presbiterio; este último es resaltado con un cambio de nivel de dos escalones y una baranda de madera. La Capilla constituye un elemento referencial de identidad para la localidad y el departamento. A nivel regional, la capilla se encuentra posicionada como uno de los iconos representativos y es un valioso testimonio en la historia de la arquitectura nacional, declarada patrimonio cultural de la Nación (Resolución 1686 1-XII-2004). Ubicada en el marco del parque principal de Villavieja, Esquina noroccidental. Villavieja está Ubicada a 37 Km de la ciudad de Neiva, por una carretera pavimentada"
Huila,Garzón,Casa de Retiros Lomachata,https://huila.travel/inventario/235,GARZON,0,41298.1.1.1.3.1.13.5300,SYTIC,0,21%,,28%,"Garzón, 0.",(1176 reviews),Antigua Casa de Retiros de la Diócesis de Garzón actualmente funciona como casa de retiros. Construida en tapia pisada con pisos en ladrillo cuadrado y cubiertas en teja de barro cuenta con jardín interior con plantas ornamentales y papiros pisos en baldosa y sillas para descansar o contemplar el gran patio. En el exterior un mirador hacia el Valle del Río Magdalena en el centro del Huila. Desde el Parque Principal de Garzón se toma la vía a Zuluaga por 10 kilómetros allí se toma la vía a la vereda Fátima por 3.5 kilómetros hasta llegar a la Casa de Retiros Lomachata.
Huila,Garzón,Casa Embrujada del Maestro Emiro Garzón,https://huila.travel/inventario/236,GARZON,Calle 2 con carrera 2 La Jagua - Garzón,41298.1.1.1.4.4.7.5302,SYTIC,3123510000,18%,,28%,"Garzón, Calle 2 con carrera 2 La Jagua - Garzón.",(1176 reviews),Museo taller del maestro Emiro Garzón Correa nacido en mayo de 1950 en Belén de los Andaquíes Caquetá y que estudió en la Escuela de Bellas Artes de Neiva. Su obra muestra una corriente entre el realismo el expresionismo y el neohumanismo rinde tributo constante a los trabajadores a las mujeres al campo y a la vida. Esta edificación es una casona de estilo colonial construida en bahareque con pisos de ladrillo cuadrado puestas y ventanas en madera labrada y cubierta de teja de barro la casa tiene un muy amplio solar donde el maestro ha instalado sus talleres y mantiene por todos los espacios y rincones muestras de su obra pictórica y escultórica. El nombre se debe a que el taller se encuentra ubicado en el Poblado La Jagua lugar famoso por sus historias de brujas. En este museo se exhiben obras en bronce creadas por el artista con el fin de mostrar a nuevos artistas e interesados en el arte de la región sobre la técnica implementada en las mismas. No se evidencia la fecha de apertura de la casa museo. Desde el parque principal de Garzón se debe tomar la vía que conduce a San Agustín por 7.2 kilómetro y allí se toma un cruce a la derecha por 800 metros allí la calle toma una curva la izquierda y al lado derecho se ve la casa.
Huila,La Argentina,CASA HACIENDA LA ARGENTINITA,https://huila.travel/inventario/137,VEREDA BELLAVISTA,"HACIENDA LA ARGENTINITA, VERED",1.1.2.2,SITYC Huila,2147480000,21%,,20%,"La Argentina, HACIENDA LA ARGENTINITA, VERED.",(1176 reviews),"Casa de estilo colonial construida en bahareque, teja de barro, columnas, puertas y ventanas en madera aserrada; los pisos son en ladrillo cocido. Cuenta con un oratorio pequeño con algunas obras del arte religioso y horno de barro. Ubicada a 2 Km del casco urbano de La Argentina, por la Vía que conduce a la vereda a Las Aguilas. El municipio de La Argentina esta ubicado a 153 Km de la ciudad de Neiva. 116 km por una vía pavimentada en muy buen estado, hasta el municipio de La Plata y de allí por una vía sin pavimentar 23 Km por la vía La Plata, Belén , Popayán y 14 Km tomando un desvió en el centro poblado de Gallego."
Huila,Garzón,"CASA MUSEO ""CASA EMBRUJADA"" DE EMIRO GARZON",https://huila.travel/inventario/34,CENTRO POBLADO LA JAGUA,CENTRO POBLADO DE LA JAGUA,1.1.4.4,SITYC Huila,2147480000,21%,,28%,"Garzón, CENTRO POBLADO DE LA JAGUA.",(1176 reviews),"Casa de estilo colonial donde tiene su taller y un espacio para la exhibición de sus obras, el pintor y escultor Emiro Garzón. Mantiene en exhibición y para la venta piezas de gran valor artístico, en las técnicas del ferro concreto, cera perdida en bronce, talla en madera, piedra y granito. Esculturas con formas de gran volumen que marcan un estilo único y diferenciado del artista. Se puede visitar a diario y la visita incluye una interpretación del artista, la obra, las técnicas y su presencia en La Jagua. Ubicada a 13 Km al sur del casco urbano de Garzón por la Troncal del Magdalena. Garzón esta ubicado a 113 Km de la ciudad de Neiva, por una excelente carretera que conduce a San Agustín."
Huila,Gigante,CASA TRADICIONAL DE LA ZONA CAFETERA,https://huila.travel/inventario/102,CORREGIMIENTO DE SILVANIA,,1.1.3.1,SITYC Huila,0,18%,,28%,"Gigante, NA.",(1176 reviews),"Casas tradicionales de la zona Cafetera del centro del departamento del Huila, construidas en bahareque, en medio de espectaculares jardines, y del paisaje típico regional. Se prestan para la observación pasiva y activa de avifauna, pues en sus jardines se alimentan las aves, causando la presencia permanente de tangaras, atrapamoscas, mieleros, mirlas entre otras. La vivencia de la finca se recrea a través del recorrido por los senderos interpretativos que recorren los jardines, cultivos de café, heliconias y las áreas de bosque, en el cual se identifican las actividades y practicas cotidianas de la zona cafetera. Ubicada a 15 Km del Casco urbano del municipio de Gigante, 15 Km por vía Pavimentada hasta el centro poblado de Silvania. Gigante está ubicado a 84 km de la ciudad de Neiva, por una vía en muy buen estado que conduce a San Agustín."
Huila,La Plata,CASCADA EL DUENDE,https://huila.travel/inventario/104,VEREDA EL CONGRESO,,2.5.1,SITYC Huila,0,,,,"La Plata, NA.",(1176 reviews),"Caída de agua de cerca de 45 metros de altura ubicada en la zona de amortiguación del Parque Natural Nacional Purace, el acceso se hace aguas arriba por la quebrada en medio de exuberante vegetación; el sendero presenta algunas dificultades haciéndolo mas atractivo a los visitantes Por la vía que del casco urbano de La Plata conduce a Popayán pasando por los centros poblados de Gallego, Villa Lozada y Belén, 41, 8 kms hasta el cruce del congreso y de allí 8 kms hasta la cascada. La Plata está Localizada a 122 Km de Neiva por la vía Puracé Popayán."
Huila,Isnos,CASCADA EL DUENDE,https://huila.travel/inventario/127,VEREDAS ALTO PLANES Y SINAI,,2.5.1,SITYC Huila,0,,,,"Isnos, NA.",(1176 reviews),"Espectacular cascada sobre la quebrada La Negra, con una altura aproximada de 45 mts, la quebrada tiene mucho caudal en el sitio por lo cual la cascada se ve impetuosa, se puede llegar hasta muy cerca por unas formaciones rocosas desde donde se recibe vapor de agua y se siente el ímpetu de la caída. Para llegar se hace un sendero de cerca de 200 mts. Ubicada a 18 Km del casco urbano del municipio de Isnos, por una vía sin pavimentar que conduce a la vereda Alto Planes, pasando por el centro poblado de Bordones. Isnos está a 228 Km de la ciudad de Neiva por un vía pavimentada en muy buen estado, pasando por Pitalito."
Huila,Garzón,Cascada El Duende,https://huila.travel/inventario/237,GARZON,0,41298.2.5.1.1.1.1.5303,SYTIC,0,,,,"Garzón, 0.",(1176 reviews),Cascada de cerca de 30 metros de altura en la cuenca alta de la Quebrada de Rioloro en la zona de amortiguación del Parque Natural Regional Cerro Páramo de Miraflores. Se encuentra rodeada por bosque alto andino hace parte de un conjunto de cuatro cascadas. Desde el parque principal de Garzón se debe tomar la vía que conduce al corregimiento de Zuluaga por 32 kilómetros hasta llegar a la vereda El Vergel y continuar por la vía a Gigante y en el sitio conocido como la Vega tomar una vía a la derecha en el primer cruce tomar de nuevo a la derecha y seguir hasta donde se acaba la vía en finca La Esmeralda desde la finca se llega caminando por la quebrada en un tramo de cerca de 800 metros.
Huila,Pitalito,CASCADA EL SILENCIO,https://huila.travel/inventario/92,VEREDA EL PORVENIR,,2.5.1,SITYC Huila,0,,,,"Pitalito, NA.",(1176 reviews),"Caída de agua de cerca de 70 Mts que desciende por peñascos rocosos. Integra un espectacular sendero aguas arriba por la quebrada en medio del bosque húmedo montano bajo, cuenta con diversidad de fauna y flora, y con algún grado de dificultad lo que hace el acceso más atractivo; es adecuada para los deportes de aventura. El sendero termina en un conjunto de cascadas consecutivas. En el recorrido se encuentran entre otras; heliconias silvestres helechos gigantes variedad de palmas, bromelias y especies maderables de esa zona de vida, se puede hacer un circuito saliendo por un potero para la cría de ganado y cultivo de granadilla. Ubicada en la Vereda El Porvenir a 13 Km del Centro Poblado de Bruselas, población localizada a 12 Km de Pitalito por la vía que conduce a Mocoa. El municipio de Pitalito esta ubicado a 189 km de la ciudad de Neiva"
